postedDt,link,location,title,debug,price
2015-01-23 13:49,/dak/mcd/4843837388.html,"[u'\n,minneapolis,motorcycles/scooters,vulcan,900,-,craigslist\n']","2009 Kawasaki Vulcan 900 Custom TRIKE Motorcycle Lehman 1,190 miles",,$14999
2015-01-23 04:32,/hnp/mcy/4853112463.html,"[u'\n,minneapolis,motorcycles/scooters,vulcan,900,-,craigslist\n']",2009 Kawasaki Vulcan 900 Custom Special Ed.,,$5500
2015-01-22 13:10,/ank/mcd/4844283371.html,"[u'\n,minneapolis,motorcycles/scooters,vulcan,900,-,craigslist\n']",2014 Kawasaki Vulcan 900 *NEW,,$7199
2015-01-22 13:08,/ank/mcd/4855495971.html,"[u'\n,minneapolis,motorcycles/scooters,vulcan,900,-,craigslist\n']",2013 Vulcan 900 classic *NEW,,$5999
2015-01-21 12:09,/dak/mcd/4851364812.html,"[u'\n,minneapolis,motorcycles/scooters,vulcan,900,-,craigslist\n']",2009 Kawasaki Vulcan 900 Classic - CHEAP! SALE!! Under BOOK $!!,,$3999
2015-01-20 12:53,/hnp/mcy/4855573977.html,"[u'\n,minneapolis,motorcycles/scooters,vulcan,900,-,craigslist\n']",2009 Kawasaki vulcan 900 special edition with 6452 miles,,$4800
2015-01-17 15:24,/hnp/mcd/4851515323.html,"[u'\n,minneapolis,motorcycles/scooters,vulcan,900,-,craigslist\n']",2009 Kawasaki Vulcan 900 Classic VN900B,,$3600
2015-01-13 14:20,/ram/mcy/4845515159.html,"[u'\n,minneapolis,motorcycles/scooters,vulcan,900,-,craigslist\n']",2008 Kawasaki Vulcan 900 Classic LT,,$4000
2015-01-11 20:15,/hnp/mcy/4806101620.html,"[u'\n,minneapolis,motorcycles/scooters,vulcan,900,-,craigslist\n']",2012 Kawasaki Vulcan SE Trike - Cool,,$14000
2015-01-10 11:56,/hnp/mcy/4832376030.html,"[u'\n,minneapolis,motorcycles/scooters,vulcan,900,-,craigslist\n']",Vulcan 900 custom special edition 2010,,$4300
2015-01-10 11:56,/hnp/mcy/4832377560.html,"[u'\n,minneapolis,motorcycles/scooters,vulcan,900,-,craigslist\n']",Vulcan 900 custom special edition 2010,,$4300
2015-01-02 11:58,/csw/mcd/4793152283.html,"[u'\n,minneapolis,motorcycles/scooters,vulcan,900,-,craigslist\n']",2011 Vulcan Classic 900,,$5999
2015-01-02 11:56,/csw/mcd/4793137886.html,"[u'\n,minneapolis,motorcycles/scooters,vulcan,900,-,craigslist\n']",2010 Vulcan 900,,$5499
2015-01-02 11:54,/csw/mcd/4793143847.html,"[u'\n,minneapolis,motorcycles/scooters,vulcan,900,-,craigslist\n']",2012 Vulcan classic 900,,$6999
2014-12-31 09:30,/ank/mcd/4795898978.html,"[u'\n,minneapolis,motorcycles/scooters,vulcan,900,-,craigslist\n']","2009 Kawasaki Vulcan 900 Custom TRIKE Motorcycle Lehman 1,190 miles",,$14999
2014-12-26 12:45,/dak/mcd/4781435029.html,"[u'\n,minneapolis,motorcycles/scooters,vulcan,900,-,craigslist\n']",2009 Kawasaki Vulcan 900 Classic - REDUCED !! SALE!,,$3999
2014-12-23 11:19,/dak/mcy/4805082731.html,"[u'\n,minneapolis,motorcycles/scooters,vulcan,900,-,craigslist\n']",2009 Kawasaki Vulcan 900 Classic,,$4600
2014-12-12 12:42,/csw/mcy/4802263316.html,"[u'\n,minneapolis,motorcycles/scooters,vulcan,900,-,craigslist\n']",Kawasaki Vulcan 900 Custom,,$4000
2015-01-24 19:03,/nph/mcy/4829524417.html,"[u'\n,phoenix,motorcycles/scooters,vulcan,900,-,craigslist\n']",Vulcan Classic 2009,,$5900
2015-01-24 17:21,/evl/mcy/4862153867.html,"[u'\n,phoenix,motorcycles/scooters,vulcan,900,-,craigslist\n']",2009 Kawasaki vulcan classic LT 900cc,,$3900
2015-01-24 17:04,/wvl/mcy/4862134596.html,"[u'\n,phoenix,motorcycles/scooters,vulcan,900,-,craigslist\n']",06' Kawasaki Vulcan 900,,$3200
2015-01-24 15:13,/nph/mcy/4861899895.html,"[u'\n,phoenix,motorcycles/scooters,vulcan,900,-,craigslist\n']",06 Yamaha Stratoliner V-Twin 1900cc 4 Sale,,$6300
2015-01-24 12:02,/evl/mcy/4854842808.html,"[u'\n,phoenix,motorcycles/scooters,vulcan,900,-,craigslist\n']",2009 Kawasaki Vulcan 900,,$5800
2015-01-24 10:51,/wvl/mcy/4852851209.html,"[u'\n,phoenix,motorcycles/scooters,vulcan,900,-,craigslist\n']","**2004 kawasaki vulcan-800. 3,700obo**",,$3700
2015-01-24 10:18,/evl/mcd/4861450496.html,"[u'\n,phoenix,motorcycles/scooters,vulcan,900,-,craigslist\n']",2014 Kawasaki Vulcan 900 custom,,$8499
2015-01-23 16:41,/wvl/mcy/4851261550.html,"[u'\n,phoenix,motorcycles/scooters,vulcan,900,-,craigslist\n']",2009 V Twin Cruiser Kawasaki Vulcan 900 Custom with extras,,$4900
2015-01-23 14:11,http://mankato.craigslist.org/mcd/4840826242.html,"[u'\n,minneapolis,motorcycles/scooters,vulcan,900,-,craigslist\n']",BRAND NEW VULCAN 900 CYCLE SALE ENDS 1/30/15,,$5999
2015-01-23 13:49,http://stcloud.craigslist.org/mcd/4825311435.html,"[u'\n,minneapolis,motorcycles/scooters,vulcan,900,-,craigslist\n']","2009 Kawasaki Vulcan 900 Custom TRIKE Motorcycle Lehman 1,190 miles",,$14999
2015-01-23 13:43,http://mankato.craigslist.org/mcd/4860278655.html,"[u'\n,minneapolis,motorcycles/scooters,vulcan,900,-,craigslist\n']",2009 Kawasaki Vulcan 900 Custom TRIKE Motorcycle Lehman LOW miles,,$14999
2015-01-22 14:32,http://stcloud.craigslist.org/mcd/4858816439.html,"[u'\n,minneapolis,motorcycles/scooters,vulcan,900,-,craigslist\n']",2010 Kawasaki Vulcan 900 CLASSIC,,$6300
2015-01-22 14:19,http://stcloud.craigslist.org/mcd/4858812078.html,"[u'\n,minneapolis,motorcycles/scooters,vulcan,900,-,craigslist\n']",2009 KAWASAKI VULCAN 900 CLASSIC,,$4500
2015-01-20 09:03,http://brainerd.craigslist.org/mcy/4834545384.html,"[u'\n,minneapolis,motorcycles/scooters,vulcan,900,-,craigslist\n']",2009 kawasaki vulcan 900 custom bobber,,$4950
2015-01-23 16:19,/cph/mcd/4833925695.html,"[u'\n,phoenix,motorcycles/scooters,vulcan,900,-,craigslist\n']",2014 Kawasaki Vulcan 900 Classic LT,,$7999
2015-01-23 16:16,/evl/mcy/4853070849.html,"[u'\n,phoenix,motorcycles/scooters,vulcan,900,-,craigslist\n']",2011 Kawasaki Vulcan 900 LIKE NEW SUPER LOW MILES,,$5500
2015-01-23 11:48,/cph/mcd/4847377482.html,"[u'\n,phoenix,motorcycles/scooters,vulcan,900,-,craigslist\n']",2010 Kawasaki Vulcan 900 Custom,,$4990
2015-01-23 11:26,/nph/mcd/4860136263.html,"[u'\n,phoenix,motorcycles/scooters,vulcan,900,-,craigslist\n']",2014 Kawasaki Vulcan® 900 Classic LT (050095),,$7999
2015-01-23 10:17,/evl/mcy/4852530735.html,"[u'\n,phoenix,motorcycles/scooters,vulcan,900,-,craigslist\n']",2007 Suzuki Boulevard C90. 1500CC Cruser,,$5695
2015-01-23 09:30,/evl/mcd/4859873243.html,"[u'\n,phoenix,motorcycles/scooters,vulcan,900,-,craigslist\n']",2014 Kawasaki Vulcan 900 custom,,$8499
2014-12-19 16:36,/cph/mcd/4769748595.html,"[u'\n,phoenix,motorcycles/scooters,vulcan,900,-,craigslist\n']",2012 Kawasaki Vulcan 900 Custom Pearl Purplish Black Mica 5-speed 903c,,$6710
2014-12-19 13:32,/evl/mcd/4772053278.html,"[u'\n,phoenix,motorcycles/scooters,vulcan,900,-,craigslist\n']",2014 Kawasaki Vulcan 900 custom,,$8499
2014-12-18 21:25,/evl/mcy/4782862682.html,"[u'\n,phoenix,motorcycles/scooters,vulcan,900,-,craigslist\n']",**** 2007 Kawasaki Vulcan 900 ****,,$4200
2014-12-18 10:50,/evl/mcd/4790095773.html,"[u'\n,phoenix,motorcycles/scooters,vulcan,900,-,craigslist\n']",2014 Kawasaki Vulcan 900 custom,,$8499
2014-12-17 14:19,/nph/mcd/4769451606.html,"[u'\n,phoenix,motorcycles/scooters,vulcan,900,-,craigslist\n']",2009 Kawasaki Vulcan 900 Custom 903cc Special Edition Ebony,,$5999
2014-12-16 12:57,/nph/mcd/4767588413.html,"[u'\n,phoenix,motorcycles/scooters,vulcan,900,-,craigslist\n']",2009 Kawasaki Vulcan 900 Classic Plasma Blue,,$13999
2015-01-20 08:50,http://eauclaire.craigslist.org/mcy/4855167243.html,"[u'\n,minneapolis,motorcycles/scooters,vulcan,900,-,craigslist\n']",2009 Kawasaki -Vulcan 900,,$6995
2015-01-16 10:46,http://mankato.craigslist.org/mcd/4812148651.html,"[u'\n,minneapolis,motorcycles/scooters,vulcan,900,-,craigslist\n']","2009 Kawasaki Vulcan 900 Custom TRIKE Motorcycle Lehman 1,190 miles",,$14999
2015-01-11 20:15,http://eauclaire.craigslist.org/mcy/4806107751.html,"[u'\n,minneapolis,motorcycles/scooters,vulcan,900,-,craigslist\n']",2012 Kawasaki Vulcan SE Trike - Cool,,$14000
2015-01-10 11:56,http://stcloud.craigslist.org/mcy/4832379980.html,"[u'\n,minneapolis,motorcycles/scooters,vulcan,900,-,craigslist\n']",2010 Vulcan 900 custom special edition,,$4300
2014-12-31 09:30,http://rmn.craigslist.org/mcd/4787294455.html,"[u'\n,minneapolis,motorcycles/scooters,vulcan,900,-,craigslist\n']",2009 Kawasaki Vulcan 900 Custom TRIKE Motorcycle Lehman LOW miles,,$14999
2014-12-19 11:02,http://stcloud.craigslist.org/mcd/4772026770.html,"[u'\n,minneapolis,motorcycles/scooters,vulcan,900,-,craigslist\n']",2009 Kawasaki Vulcan 900 Custom TRIKE Motorcycle Lehman LOW miles,,$14999
2014-12-14 15:37,http://rmn.craigslist.org/mcy/4805239565.html,"[u'\n,minneapolis,motorcycles/scooters,vulcan,900,-,craigslist\n']",08 vulcan 900 custom,,$5000
2015-01-23 06:41,/evl/mcy/4818716751.html,"[u'\n,phoenix,motorcycles/scooters,vulcan,900,-,craigslist\n']",2009 Kawasaki vulcan 900 custom SE,,$5500
2015-01-22 19:14,/nph/mcy/4859329401.html,"[u'\n,phoenix,motorcycles/scooters,vulcan,900,-,craigslist\n']",2008 Kawasaki Vulcan 900 Custom,,$5000
2015-01-22 19:06,/evl/mcy/4835664028.html,"[u'\n,phoenix,motorcycles/scooters,vulcan,900,-,craigslist\n']",2003 YAMAHA V-STAR 650===ONLY 2100 MILES !!!===VERY CLEAN===NO ISSUES=,,$3500
2015-01-22 17:50,/cph/mcd/4833459102.html,"[u'\n,phoenix,motorcycles/scooters,vulcan,900,-,craigslist\n']",2012 Kawasaki Vulcan 900 Custom Pearl Purplish Black Mica 5-speed 903c,,$6710
2015-01-22 17:21,/cph/mcd/4859190998.html,"[u'\n,phoenix,motorcycles/scooters,vulcan,900,-,craigslist\n']",2012 Kawasaki Vulcan 900 Custom,,$5995
2015-01-22 14:45,/evl/mcd/4858964091.html,"[u'\n,phoenix,motorcycles/scooters,vulcan,900,-,craigslist\n']",2015 Kawasaki Vulcan 900 Classic White,,$7999
2014-12-16 09:04,/wvl/mcy/4801911842.html,"[u'\n,phoenix,motorcycles/scooters,vulcan,900,-,craigslist\n']",**SOLD** 2009 Kawasaki Vulcan 900 Custom SE,,$4450
2014-12-15 21:11,/nph/mcy/4807222542.html,"[u'\n,phoenix,motorcycles/scooters,vulcan,900,-,craigslist\n']","2010 Kawasaki, 900",,$13000
2014-12-13 12:06,/wvl/mcy/4803747581.html,"[u'\n,phoenix,motorcycles/scooters,vulcan,900,-,craigslist\n']",kawasaki Vulcan 900 2006,,$3500
2014-12-10 23:10,/evl/mcy/4800138205.html,"[u'\n,phoenix,motorcycles/scooters,vulcan,900,-,craigslist\n']",2009 Kawasaki Vulcan 900 Custom,,$4650
2014-12-11 21:26,http://masoncity.craigslist.org/mcy/4771211189.html,"[u'\n,minneapolis,motorcycles/scooters,vulcan,900,-,craigslist\n']",2009 kawasaki vulcan classic 900,,$4200
2015-01-22 13:28,/evl/mcd/4829209737.html,"[u'\n,phoenix,motorcycles/scooters,vulcan,900,-,craigslist\n']",2007 KAWASAKI VULCAN 900,,$4999
2015-01-22 11:07,/evl/mcd/4858556015.html,"[u'\n,phoenix,motorcycles/scooters,vulcan,900,-,craigslist\n']",2014 Kawasaki Vulcan 900 custom,,$8499
2015-01-21 18:49,/wvl/mcd/4857784840.html,"[u'\n,phoenix,motorcycles/scooters,vulcan,900,-,craigslist\n']",2009 Kawasaki Vulcan 900 Classic Plasma Blue,,$13999
2015-01-21 18:12,/evl/mcy/4854277287.html,"[u'\n,phoenix,motorcycles/scooters,vulcan,900,-,craigslist\n']",2012 KAWASAKI VULCAN 900,,$5995
2015-01-21 12:13,/cph/mcy/4857186947.html,"[u'\n,phoenix,motorcycles/scooters,vulcan,900,-,craigslist\n']",08 Kawasaki Vulcan 900 (Excellent),,$4000
2015-01-21 11:26,/cph/mcd/4816242842.html,"[u'\n,phoenix,motorcycles/scooters,vulcan,900,-,craigslist\n']",2012 Kawasaki Vulcan 900 Classic Special Edition,,$6910
2015-01-21 10:26,/wvl/mcd/4848723984.html,"[u'\n,phoenix,motorcycles/scooters,vulcan,900,-,craigslist\n']",2010 Kawasaki Vulcan® 900 Classic LT (ULE222),,
2015-01-21 10:17,/evl/mcd/4856947397.html,"[u'\n,phoenix,motorcycles/scooters,vulcan,900,-,craigslist\n']",2014 Kawasaki Vulcan 900 custom,,$8499
2015-01-20 19:18,/nph/mcy/4856275730.html,"[u'\n,phoenix,motorcycles/scooters,vulcan,900,-,craigslist\n']",2005 Kawasaki Vulcan 2000,,$5950
2015-01-20 12:03,/wvl/mcd/4855614604.html,"[u'\n,phoenix,motorcycles/scooters,vulcan,900,-,craigslist\n']",2015 Kawasaki Vulcan 900 Classic LT Gray,,$8999
2015-01-20 10:59,/evl/mcy/4843700117.html,"[u'\n,phoenix,motorcycles/scooters,vulcan,900,-,craigslist\n']",2007 Kawasaki Vulcan 900 Custom,,$4000
2015-01-20 09:51,/evl/mcd/4855354503.html,"[u'\n,phoenix,motorcycles/scooters,vulcan,900,-,craigslist\n']",2014 Kawasaki Vulcan 900 custom,,$8499
2015-01-19 16:18,/wvl/mcd/4848852190.html,"[u'\n,phoenix,motorcycles/scooters,vulcan,900,-,craigslist\n']",2015 Kawasaki Vulcan 900 Custom Black/Green,,$8499
2015-01-19 13:20,/evl/mcd/4838341505.html,"[u'\n,phoenix,motorcycles/scooters,vulcan,900,-,craigslist\n']",2015 Kawasaki Vulcan 900 Classic Gray,,
2015-01-19 13:19,/evl/mcd/4839507761.html,"[u'\n,phoenix,motorcycles/scooters,vulcan,900,-,craigslist\n']",2015 Kawasaki Vulcan 900 Custom Black,,
2015-01-19 12:22,/cph/mcd/4837160420.html,"[u'\n,phoenix,motorcycles/scooters,vulcan,900,-,craigslist\n']",2009 Kawasaki Vulcan 900 Classic Plasma Blue,,$13999
2015-01-19 11:29,/cph/mcd/4839453256.html,"[u'\n,phoenix,motorcycles/scooters,vulcan,900,-,craigslist\n']",2012 Kawasaki Vulcan 900,,$3995
2015-01-19 11:10,/evl/mcd/4853882483.html,"[u'\n,phoenix,motorcycles/scooters,vulcan,900,-,craigslist\n']",2014 Kawasaki Vulcan 900 custom,,$8499
2015-01-19 08:55,/wvl/mcd/4840643503.html,"[u'\n,phoenix,motorcycles/scooters,vulcan,900,-,craigslist\n']",2012 Kawasaki Vulcan 900 Classic Burgandy,,$6999
2015-01-17 14:07,/cph/mcy/4823010468.html,"[u'\n,phoenix,motorcycles/scooters,vulcan,900,-,craigslist\n']",2011 Kawasaki Vulcan Classic LT 900,,$5500
2015-01-17 13:00,/wvl/mcy/4851380779.html,"[u'\n,phoenix,motorcycles/scooters,vulcan,900,-,craigslist\n']",2012 kawasaki vulcan 900 classic,,$4500
2015-01-17 12:45,/evl/mcd/4821488571.html,"[u'\n,phoenix,motorcycles/scooters,vulcan,900,-,craigslist\n']",2014 Kawasaki Vulcan 900 custom,,$8499
2015-01-16 12:11,/evl/mcy/4849858867.html,"[u'\n,phoenix,motorcycles/scooters,vulcan,900,-,craigslist\n']",2009 Kawasaki 900 LT,,$5650
2015-01-16 10:23,/evl/mcd/4820371132.html,"[u'\n,phoenix,motorcycles/scooters,vulcan,900,-,craigslist\n']",2014 Kawasaki Vulcan 900 custom,,$8499
2015-01-15 10:20,/evl/mcd/4838055759.html,"[u'\n,phoenix,motorcycles/scooters,vulcan,900,-,craigslist\n']",2014 Kawasaki Vulcan 900 custom,,$8499
2015-01-14 20:01,/wvl/mcy/4847567153.html,"[u'\n,phoenix,motorcycles/scooters,vulcan,900,-,craigslist\n']",For Sale: 2008 Kawasaki Vulcan 900 Classic LT,,$5750
2015-01-14 16:38,/evl/mcy/4813935041.html,"[u'\n,phoenix,motorcycles/scooters,vulcan,900,-,craigslist\n']",2006 Kawasaki Vulcan Classic 900 LT,,$3300
2015-01-14 09:47,/evl/mcd/4826975808.html,"[u'\n,phoenix,motorcycles/scooters,vulcan,900,-,craigslist\n']",2014 Kawasaki Vulcan 900 custom,,$8499
2015-01-13 12:51,/evl/mcd/4818068578.html,"[u'\n,phoenix,motorcycles/scooters,vulcan,900,-,craigslist\n']",2008 Kawasaki Vulcan 900 Classic Blue,,$5499
2015-01-13 09:25,/evl/mcd/4845044613.html,"[u'\n,phoenix,motorcycles/scooters,vulcan,900,-,craigslist\n']",2014 Kawasaki Vulcan 900 custom,,$8499
2015-01-12 12:35,/evl/mcy/4843881143.html,"[u'\n,phoenix,motorcycles/scooters,vulcan,900,-,craigslist\n']",2012 Kawasaki Vulcan 900 Custom,,$4500
2015-01-12 09:34,/evl/mcd/4833670661.html,"[u'\n,phoenix,motorcycles/scooters,vulcan,900,-,craigslist\n']",2014 Kawasaki Vulcan 900 custom,,$8499
2015-01-11 21:38,/evl/mcy/4843039422.html,"[u'\n,phoenix,motorcycles/scooters,vulcan,900,-,craigslist\n']",AWESOME BIKE FOR SALE,,$3700
2015-01-11 21:32,/evl/mcy/4843040390.html,"[u'\n,phoenix,motorcycles/scooters,vulcan,900,-,craigslist\n']",CUSTOM BIKE,,$3700
2015-01-11 21:27,/evl/mcy/4843041714.html,"[u'\n,phoenix,motorcycles/scooters,vulcan,900,-,craigslist\n']",Blue Kawasaki Vulcan,,$3700
2015-01-11 21:16,/evl/mcy/4830727700.html,"[u'\n,phoenix,motorcycles/scooters,vulcan,900,-,craigslist\n']",CUSTOM MOTORCYCLE STRAIGHT PIPES,,$3700
2015-01-11 21:16,/evl/mcy/4819516118.html,"[u'\n,phoenix,motorcycles/scooters,vulcan,900,-,craigslist\n']",Blue Kawasaki Vulcan,,$3700
2015-01-11 21:12,/evl/mcy/4843038221.html,"[u'\n,phoenix,motorcycles/scooters,vulcan,900,-,craigslist\n']",Blue Kawasaki Vulcan,,$3700
2015-01-11 10:34,/evl/mcy/4842224397.html,"[u'\n,phoenix,motorcycles/scooters,vulcan,900,-,craigslist\n']",2009 Kawasaki vulcan classic LT 900cc,,$3900
2015-01-09 11:38,/wvl/mcd/4805375642.html,"[u'\n,phoenix,motorcycles/scooters,vulcan,900,-,craigslist\n']",2015 Kawasaki Vulcan 900 Classic LT Gray,,$8999
2015-01-09 10:51,/nph/mcy/4839529215.html,"[u'\n,phoenix,motorcycles/scooters,vulcan,900,-,craigslist\n']","2012 Kawasaki Vulcan Classic 900 Motorcycle, only 1,200 miles",,$5700
2015-01-08 16:59,/nph/mcd/4812720286.html,"[u'\n,phoenix,motorcycles/scooters,vulcan,900,-,craigslist\n']",2007 Kawasaki Vulcan 900 Classic LT,,$4999
2015-01-08 14:59,/evl/mcy/4838497685.html,"[u'\n,phoenix,motorcycles/scooters,vulcan,900,-,craigslist\n']",2006 Vulcan 900 Classic,,$4000
2015-01-07 19:31,/evl/mcy/4837335522.html,"[u'\n,phoenix,motorcycles/scooters,vulcan,900,-,craigslist\n']",Kawasaki Vulcan Trike (REDUCED),,$13888
2015-01-07 16:28,/evl/mcy/4837145287.html,"[u'\n,phoenix,motorcycles/scooters,vulcan,900,-,craigslist\n']",08 Vulcan bobber,,$4700
2015-01-06 09:23,/evl/mcd/4797537676.html,"[u'\n,phoenix,motorcycles/scooters,vulcan,900,-,craigslist\n']",2014 Kawasaki Vulcan 900 custom,,$8499
2015-01-03 19:17,/nph/mcy/4831305407.html,"[u'\n,phoenix,motorcycles/scooters,vulcan,900,-,craigslist\n']",2008 Kawasaki Vulcan 900 Custom,,$4400
2015-01-02 10:48,/evl/mcy/4797859814.html,"[u'\n,phoenix,motorcycles/scooters,vulcan,900,-,craigslist\n']",2007 vulcan 900,,$4750
2015-01-02 09:14,/evl/mcd/4788680153.html,"[u'\n,phoenix,motorcycles/scooters,vulcan,900,-,craigslist\n']",2009 Kawasaki Vulcan 900 Classic LT,,$4700
2015-01-02 09:07,/wvl/mcd/4790089690.html,"[u'\n,phoenix,motorcycles/scooters,vulcan,900,-,craigslist\n']",2015 Kawasaki Vulcan 900 Classic LT Gray,,$8999
2015-01-01 16:36,/evl/mcy/4828195030.html,"[u'\n,phoenix,motorcycles/scooters,vulcan,900,-,craigslist\n']",2010 Kawasaki Vulcan 900,,$5500
2015-01-01 11:52,/evl/mcy/4798367132.html,"[u'\n,phoenix,motorcycles/scooters,vulcan,900,-,craigslist\n']",2005 Kawasaki Vulcan Classic 800cc,,$4500
2015-01-01 10:07,/evl/mcy/4787964207.html,"[u'\n,phoenix,motorcycles/scooters,vulcan,900,-,craigslist\n']",Blue Kawasaki Vulcan,,$3700
2015-01-01 10:07,/evl/mcy/4787964543.html,"[u'\n,phoenix,motorcycles/scooters,vulcan,900,-,craigslist\n']",Blue Kawasaki Vulcan 900,,$3700
2015-01-01 09:47,/evl/mcy/4787963810.html,"[u'\n,phoenix,motorcycles/scooters,vulcan,900,-,craigslist\n']",CUSTOM MOTORCYCLE,,$3700
2014-12-30 10:50,/wvl/mcy/4825402278.html,"[u'\n,phoenix,motorcycles/scooters,vulcan,900,-,craigslist\n']",2014 Vulcan 900 Custom,,$6900
2014-12-30 09:56,/wvl/mcy/4825305020.html,"[u'\n,phoenix,motorcycles/scooters,vulcan,900,-,craigslist\n']",2008 Kawasaki Vulcan Classic 900,,$5500
2014-12-29 22:35,/evl/mcy/4814112490.html,"[u'\n,phoenix,motorcycles/scooters,vulcan,900,-,craigslist\n']",2006 Kawasaki Vulcan 900,,$4250
2014-12-29 12:16,/evl/mcd/4785493293.html,"[u'\n,phoenix,motorcycles/scooters,vulcan,900,-,craigslist\n']",2014 Kawasaki Vulcan 900 custom,,$8499
2014-12-29 11:30,/cph/mcd/4794644944.html,"[u'\n,phoenix,motorcycles/scooters,vulcan,900,-,craigslist\n']",2012 Kawasaki Vulcan 900 Custom,,$6498
2014-12-26 17:44,/evl/mcy/4809365231.html,"[u'\n,phoenix,motorcycles/scooters,vulcan,900,-,craigslist\n']",2009 Kawasaki Vulcan 900 Custom,,$5800
2014-12-25 20:45,/evl/mcy/4784704889.html,"[u'\n,phoenix,motorcycles/scooters,vulcan,900,-,craigslist\n']",Kawasaki Vulcan,,$3700
2014-12-24 13:38,/evl/mcd/4778952216.html,"[u'\n,phoenix,motorcycles/scooters,vulcan,900,-,craigslist\n']",2014 Kawasaki Vulcan 900 custom,,$8499
2014-12-22 14:40,/evl/mcd/4776170165.html,"[u'\n,phoenix,motorcycles/scooters,vulcan,900,-,craigslist\n']",2014 Kawasaki Vulcan 900 custom,,$8499
2014-12-22 14:07,/cph/mcd/4777281977.html,"[u'\n,phoenix,motorcycles/scooters,vulcan,900,-,craigslist\n']",2015 Kawaski Vulcan 900 Classic,,$7699
2014-12-22 14:06,/evl/mcd/4777286208.html,"[u'\n,phoenix,motorcycles/scooters,vulcan,900,-,craigslist\n']",2015 Kawaski Vulcan 900 Classic,,$7699
2014-12-22 14:06,/nph/mcd/4777291346.html,"[u'\n,phoenix,motorcycles/scooters,vulcan,900,-,craigslist\n']",2015 Kawaski Vulcan 900 Classic,,$7699
2014-12-22 14:06,/wvl/mcd/4777294360.html,"[u'\n,phoenix,motorcycles/scooters,vulcan,900,-,craigslist\n']",2015 Kawaski Vulcan 900 Classic,,$7699
2014-12-22 14:06,/wvl/mcd/4778865719.html,"[u'\n,phoenix,motorcycles/scooters,vulcan,900,-,craigslist\n']",2015 Kawasaki Vulcan 900 Classic LT,,$8999
2014-12-22 14:06,/wvl/mcd/4778849256.html,"[u'\n,phoenix,motorcycles/scooters,vulcan,900,-,craigslist\n']",2015 Kawasaki Vulcan 900 Custom,,$8499
2014-12-22 14:06,/nph/mcd/4778862790.html,"[u'\n,phoenix,motorcycles/scooters,vulcan,900,-,craigslist\n']",2015 Kawasaki Vulcan 900 Classic LT,,$8999
2014-12-22 14:06,/evl/mcd/4778859948.html,"[u'\n,phoenix,motorcycles/scooters,vulcan,900,-,craigslist\n']",2015 Kawasaki Vulcan 900 Classic LT,,$8999
2014-12-22 14:06,/nph/mcd/4778844307.html,"[u'\n,phoenix,motorcycles/scooters,vulcan,900,-,craigslist\n']",2015 Kawasaki Vulcan 900 Custom,,$8499
2014-12-22 14:06,/cph/mcd/4778854391.html,"[u'\n,phoenix,motorcycles/scooters,vulcan,900,-,craigslist\n']",2015 Kawasaki Vulcan 900 Classic LT,,$8999
2014-12-22 14:06,/evl/mcd/4778715790.html,"[u'\n,phoenix,motorcycles/scooters,vulcan,900,-,craigslist\n']",2015 Kawasaki Vulcan 900 Custom,,$8499
2014-12-22 14:06,/cph/mcd/4778712945.html,"[u'\n,phoenix,motorcycles/scooters,vulcan,900,-,craigslist\n']",2015 Kawasaki Vulcan 900 Custom,,$8499
2014-12-21 16:14,/nph/mcy/4809424120.html,"[u'\n,phoenix,motorcycles/scooters,vulcan,900,-,craigslist\n']",Kawasaki Vulcan 900 custom,,$3800
2014-12-20 12:33,/nph/mcy/4813753061.html,"[u'\n,phoenix,motorcycles/scooters,vulcan,900,-,craigslist\n']",2008 Kawaski Vulcan 900,,$3500
2014-12-20 12:17,/evl/mcd/4773841413.html,"[u'\n,phoenix,motorcycles/scooters,vulcan,900,-,craigslist\n']",2014 Kawasaki Vulcan 900 custom,,$8499
2014-12-19 16:36,/cph/mcd/4769748595.html,"[u'\n,phoenix,motorcycles/scooters,vulcan,900,-,craigslist\n']",2012 Kawasaki Vulcan 900 Custom Pearl Purplish Black Mica 5-speed 903c,,$6710
